id,bill_id,text,summary,title,text_len,sum_len
0,1,"!Hola! !Bienvenid@ al chat del Círculo de Inteligencia Artificial (CIA)! 👋

El CIA se dedica a la investigación, desarrollo de proyectos y la producción de papers en el campo de la Inteligencia Artificial. 🤖🔬

Nuestro círculo se compone de diversas áreas, incluyendo el area de investigación y papers, el area de marketing y el area de desarrollo de clases, así como cuatro tribus enfocadas en algoritmos, modelos de IA, proyectos de IA y herramientas e impacto de IA. 🤝😊

No dudes en hacer cualquier pregunta que tengas sobre nuestras áreas, tribus o proyectos! Estamos aquí para ayudarte y compartir nuestro entusiasmo por la Inteligencia Artificial. 🌟🤖💡

¡Esperamos poder brindarte información valiosa y resolver todas tus dudas! 💪😊

Para ser concisos, que es lo que buscas pe chat@? 💀

- Objetivo del CIA
- Area de Investigacion
- Area de Marketing
- Area de Formacion Academica
- Tribu de Algoritmos
- Tribu de Proyectos
- Tribu de Modelos
- Tribu de Herramientas e Impacto
- Despedida","Hola, Buenos dias, Buenas tardes, Holi, Bienvenido, Bienvenida","Hola, hola, Saludos, Buenos dias, Buenas tardes, Holi, Bienvenido, Bienvenida CIA ",8494,321
1,2,"Nuestro objetivo es fomentar la colaboración y el aprendizaje en el ámbito de la Inteligencia Artificial, así como explorar su aplicación en diferentes áreas. Estamos comprometidos en impulsar el avance de la IA y compartir nuestro conocimiento a través de investigaciones, publicaciones, proyectos prácticos y actividades de divulgación. 🚀🔬",Objetivo del Cia,Objetivo del Cia,6522,1424
2,3,"Sobre el área de investigación y realización de papers:
🔬📚 Nuestro círculo cuenta con un área dedicada a la investigación y producción de papers en el campo de la Inteligencia Artificial. ¿Tienes alguna pregunta específica sobre nuestros proyectos de investigación o publicaciones recientes? 🧐📝
No preguntes, no mentira preguntale a Juler el se esta encargando de este tema.","Investigacion, papers",Area de Investigacion,6154,463
3,4,"Sobre el área de Marketing:
📣💼 En el Círculo de Inteligencia Artificial de la Universidad de Lima también contamos con un área de Marketing. Trabajamos en la promoción y difusión de nuestros proyectos y eventos relacionados con IA. ¿Hay algo en particular que te gustaría saber sobre nuestras actividades de marketing? 🚀🎯
No preguntes, necesitamos a Gabocho para el desarrollo de esta área.",Area de Marketing,Area de Marketing,19853,1400
4,5,"Sobre el área de Formación Académica:
🎓📚 Además de nuestras áreas de investigación y marketing, también realizamos talleres relacionados a Inteligencia Artificial. ¿Te gustaría saber más sobre los talleres que realizamos? 📖🤔
No preguntes, la planificación y realización de los mismos está en proceso.","Formacion Academica, talleres",Area de Formacion Academica,6273,278
5,6,La tribu de proyectos estudia y hace proyectos :D,Tribu de Proyectos,Tribu de Proyectos,11691,114
6,7,La tribu de algoritmos estudia y trabaja con algoritmos :D,Tribu de Algoritmos,Tribu de Algoritmos,5328,379
7,8,La tribu de modelos estudia y hace proyectos a través del uso de modelos :D,Tribu de Modelos,Tribu de Modelos,16668,1525
8,9,La tribu de Herramientas e Impacto hace publicaciones y tambien estas huevadas :D,Tribu de Herramientas e Impacto,Tribu de Herramientas e Impacto,15352,2151
9,10,Hasta luego chikistrikis!,"Despedida, Chau, Hasta Luego, Bye","Despedida, Chau, Hasta Luego, Bye",5633,894
